peak_month,peak_year,trough_month,trough_year
,,December,1854
June,1857,December,1858
October,1860,June,1861
April,1865,December,1867
June,1869,December,1870
October,1873,March,1879
March,1882,May,1885
March,1887,April,1888
July,1890,May,1891
January,1893,June,1894
December,1895,June,1897
June,1899,December,1900
September,1902,August,1904
May,1907,June,1908
January,1910,January,1912
January,1913,December,1914
August,1918,March,1919
January,1920,July,1921
May,1923,July,1924
October,1926,November,1927
August,1929,March,1933
May,1937,June,1938
February,1945,October,1945
November,1948,October,1949
July,1953,May,1954
August,1957,April,1958
April,1960,February,1961
December,1969,November,1970
November,1973,March,1975
January,1980,July,1980
July,1981,November,1982
July,1990,March,1991
March,2001,November,2001
December,2007,June,2009
February,2020,April,2020
